"timestamp","x","y","z","counts"
1.58046326047661E+018,-0.0631081834,0.1502031088,0.3883031178,3
1.58046326148033E+018,-0.0606964454,0.1533529758,0.3877291846,2
1.58046326248404E+018,-0.0612520799,0.1543132812,0.3874863553,0
1.58046326348706E+018,-0.0609176271,0.1540368795,0.3872057962,2
1.58046326449112E+018,-0.0617129058,0.1541299522,0.3871665466,2
1.58046326549503E+018,-0.0633160248,0.1519027352,0.3868920374,1
1.58046326649805E+018,-0.0631804913,0.1503024548,0.3867156672,2
1.58046326750173E+018,-0.0637585893,0.1503872573,0.3866254556,1
1.58046326850511E+018,-0.0661607683,0.1509172916,0.3863243628,1
1.58046326950801E+018,-0.0647443235,0.1505010724,0.3862494695,3
1.58046327051128E+018,-0.0647070035,0.1507874429,0.3860093522,1
1.5804632715143E+018,-0.0632388666,0.1521786898,0.3856260645,2
1.58046327251793E+018,-0.0646637157,0.1516689658,0.3854341674,1
1.58046327352236E+018,-0.0652352124,0.1508131325,0.3852131236,1
1.58046327452474E+018,-0.0643016174,0.1521779448,0.384957062,1
1.5804632755281E+018,-0.0652532876,0.1526504904,0.3846528697,1
1.58046327653078E+018,-0.063051641,0.1521749049,0.3846019673,0
1.58046327753467E+018,-0.0644793138,0.1514929533,0.3843603897,0
1.58046327853741E+018,-0.0653753728,0.152072221,0.3841519523,1
1.58046327954221E+018,-0.0653656125,0.1520547122,0.3840425181,1
1.58046328054457E+018,-0.0634385869,0.1527147293,0.3839335608,1
1.58046328154803E+018,-0.064891696,0.1517471075,0.383789258,2
1.58046328255028E+018,-0.0650397614,0.1525543481,0.3834571111,1
1.5804632835539E+018,-0.063150309,0.1527433693,0.3833480644,1
1.58046328455817E+018,-0.0636165962,0.1529957205,0.383427875,2
1.58046328556127E+018,-0.0627218485,0.1536258757,0.3833222556,2
1.58046328656593E+018,-0.0639856458,0.1533451825,0.3831477034,0
1.58046328756923E+018,-0.0634093732,0.1526512653,0.3830433655,2
1.58046328857189E+018,-0.0622199252,0.1523908824,0.3828914034,1
1.58046328957521E+018,-0.0628588945,0.1534163952,0.3827828932,0
1.58046329057745E+018,-0.0627965033,0.1535293311,0.3826857078,1
1.58046329158152E+018,-0.0632947981,0.1527210027,0.3827593195,1
1.58046329258651E+018,-0.061965093,0.1532889456,0.3828698266,0
1.58046329358935E+018,-0.0636075363,0.1526667476,0.3828653562,1
1.58046329459237E+018,-0.0629870221,0.1541050822,0.3826202917,2
1.58046329559539E+018,-0.0616966859,0.1538412571,0.3823127615,2
1.58046329659885E+018,-0.062755771,0.151739493,0.3821749258,0
1.58046329760178E+018,-0.062862955,0.1535734832,0.3822200167,2
1.58046329860579E+018,-0.0627249628,0.1529495865,0.3824092913,1
1.58046329961062E+018,-0.0616821237,0.1535902768,0.3824295568,3
1.58046330061349E+018,-0.0621133372,0.1534415632,0.382400887,2
1.58046330161667E+018,-0.0634459481,0.1531949639,0.3825034964,1
1.58046330261995E+018,-0.0638721511,0.1531025767,0.3826619554,1
1.58046330362326E+018,-0.0637009293,0.1520229876,0.3826666045,4
1.58046330462547E+018,-0.06325946,0.1522724479,0.3826587963,0
1.58046330563084E+018,-0.0638908669,0.15207012,0.3826843071,2
1.58046330663429E+018,-0.0617637224,0.151927039,0.3825024235,4
1.58046330763797E+018,-0.0622068457,0.1528436691,0.3825938272,3
1.58046330864088E+018,-0.0621655583,0.1532876492,0.3824603128,2
1.58046330964434E+018,-0.0627477467,0.1533093303,0.3823201227,0
1.58046331064683E+018,-0.0616021901,0.1527293772,0.3824242818,1
1.58046331165059E+018,-0.0625266731,0.1533301324,0.3822777736,3
1.58046331265544E+018,0.0055119474,0.1555205882,0.3827330041,1
1.58046331365918E+018,0.1044079363,0.1533885151,0.3821170497,1
1.58046331466161E+018,0.1987954229,0.1596157402,0.3823853004,2
1.58046331566478E+018,0.316798389,0.1564655453,0.3823965657,3
1.58046331666839E+018,0.442681402,0.1618311405,0.3821736443,4
1.5804633176718E+018,0.5702706575,0.1561453491,0.3827871251,5
1.58046331867582E+018,0.6982949376,0.1604738533,0.3824803698,2
1.58046331967902E+018,0.789272666,0.1631254703,0.3821201491,3
1.58046332068178E+018,0.8724600077,0.1641371846,0.3822455871,3
1.58046332168521E+018,0.9586328268,0.1623999774,0.3822375107,0
1.58046332268815E+018,1.0476688147,0.1648219377,0.3822905588,3
1.58046332369209E+018,1.1175305843,0.1647614539,0.38257985,0
1.58046332469599E+018,1.3083008528,0.168599233,0.3824349809,3
1.58046332569949E+018,1.4679163694,0.1683106124,0.3823084998,2
1.5804633267033E+018,1.6132897139,0.1688255817,0.3822794724,0
1.5804633277055E+018,1.7576723099,0.169460535,0.3825110364,0
1.58046332870876E+018,1.9026018381,0.1732794046,0.3823933172,1
1.58046332971245E+018,2.032930851,0.1708036065,0.3830140996,1
1.58046333071582E+018,2.155299902,0.1797478795,0.383371489,2
1.58046333172051E+018,2.2678663731,0.1955677271,0.3836865294,2
1.58046333272393E+018,2.3760979176,0.2201916575,0.3848011065,0
1.58046333372626E+018,2.458132267,0.2531231642,0.3869224656,1
1.58046333473E+018,2.5243091583,0.3133963943,0.3886099625,3
1.58046333573336E+018,2.5691874027,0.3847706616,0.3907118607,0
1.58046333673739E+018,2.5680773258,0.4301757216,0.3901834655,3
1.58046333774036E+018,2.570895195,0.4274326265,0.3894317019,1
1.58046333874389E+018,2.5613985062,0.4417301118,0.3887192476,1
1.58046333974744E+018,2.5652201176,0.4398684204,0.3881525862,0
1.58046334075095E+018,2.5653352737,0.4338977039,0.3875424433,2
1.58046334175412E+018,2.5647864342,0.4370509684,0.387236284,2
1.58046334275807E+018,2.5654485226,0.43596825,0.3868386018,1
1.58046334376104E+018,2.564291954,0.438051343,0.3863285947,1
1.58046334476414E+018,2.5639743805,0.4378300309,0.3858690131,1
1.58046334576809E+018,2.5647017956,0.4369686842,0.3855473566,1
1.58046334677024E+018,2.5662968159,0.4380848706,0.3850668836,5
1.58046334777457E+018,2.567704916,0.4365320206,0.3847110438,3
1.58046334877799E+018,2.5642137527,0.4363106191,0.3844175208,0
1.58046334978057E+018,2.5642120838,0.4365209937,0.3845708239,0
1.58046335078357E+018,2.5651996136,0.4350565672,0.3842603433,0
1.58046335178632E+018,2.5648577213,0.4372506142,0.384147929,1
1.5804633527905E+018,2.5645852089,0.4353348017,0.3839687872,1
