"timestamp","x","y","z","counts"
1.5755500369397E+018,0.2818803489,-1.2249106169,0.3890033531,0
1.5755500379437E+018,0.2818131745,-1.2248250246,0.3890033531,0
1.5755500389467E+018,0.280931294,-1.2240028381,0.3890033531,0
1.57555003994881E+018,0.2817658782,-1.22245121,0.3890033531,0
1.5755500409518E+018,0.2812979817,-1.2226929665,0.3890033531,0
1.57555004195526E+018,0.2833313942,-1.2237520218,0.3889111447,1
1.57555004295826E+018,0.2369884264,-1.2233959436,0.3890589345,0
1.57555004396326E+018,0.2384370911,-1.2222015858,0.3889290559,0
1.57555004496732E+018,0.2377216458,-1.2251410484,0.389045881,0
1.57555004597032E+018,0.2368026495,-1.22973001,0.3890033531,1
1.57555004697356E+018,0.2412945163,-1.3008105755,0.3890033531,1
1.57555004797656E+018,0.2359006011,-1.4160292149,0.3890033531,1
1.57555004897956E+018,0.2236350417,-1.55230546,0.3890033531,0
1.57555004998387E+018,0.2061667889,-1.6758645773,0.3890033531,0
1.57555005098787E+018,0.1857583362,-1.8611848354,0.3889111447,0
1.57555005199038E+018,0.1676149052,-1.9311372042,0.3890589345,0
1.57555005299338E+018,0.1599409103,-2.0209226608,0.3889290559,1
1.57555005399638E+018,0.1773857439,-2.0995314121,0.389045881,0
1.57555005500113E+018,0.1766843677,-2.0908868313,0.3890356886,2
1.57555005600513E+018,0.1770689893,-2.0946333408,0.3890141118,0
1.57555005700837E+018,0.1717020607,-2.0942568779,0.3890582788,1
1.57555005801137E+018,0.1783025873,-2.1062362194,0.3890802729,1
1.57555005901437E+018,0.1961747628,-2.1849107742,0.3890095818,0
1.57555006001872E+018,0.2122351062,-2.2608983517,0.3890325296,0
1.57555006102172E+018,0.2361873901,-2.3480451107,0.3889829981,0
1.57555006202332E+018,0.2533404028,-2.4320864677,0.3890418279,1
1.57555006302832E+018,0.2940147901,-2.5537371635,0.3889917898,1
1.57555006403232E+018,0.3380490839,-2.7462670803,0.3890775907,0
1.57555006503589E+018,0.361013453,-2.8289909363,0.3890495169,0
1.57555006603889E+018,0.3915642107,-2.9684402943,0.3890164661,2
1.57555006704135E+018,0.4119019926,-3.0996985435,0.3890023994,1
1.57555006804435E+018,0.4473156452,-3.2683405876,0.389065491,0
1.57555006904735E+018,0.4739241815,-3.419993639,0.3889749813,0
1.57555007005164E+018,0.4715081549,-3.4052886963,0.3890293109,1
1.57555007105564E+018,0.4626928997,-3.3991904259,0.3889755476,0
1.57555007205912E+018,0.4715419006,-3.4055702686,0.3889079857,1
1.57555007306212E+018,0.4708974767,-3.40655756,0.3889691401,0
1.57555007406512E+018,0.4708439541,-3.4052522182,0.3889460135,1
1.57555007506844E+018,0.4686807704,-3.4050478935,0.3891257215,0
1.57555007607144E+018,0.4694829583,-3.4035966396,0.3889318275,1
1.57555007707619E+018,0.4730569553,-3.404610157,0.3890315759,1
1.57555007808018E+018,0.4707508278,-3.4054796696,0.3890305328,0
1.57555007908419E+018,0.4706270099,-3.4036345482,0.389066385,1
1.57555008008585E+018,0.4704735017,-3.4030690193,0.3890572953,2
